City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Gusau,NG,2022-07-18 18:39:29,12.1628,6.6614,75.2,82,36,6.24
116,Kamaishi,JP,2022-07-18 18:39:29,39.2667,141.8833,71.55,86,100,2.24
117,Bandarban,BD,2022-07-18 18:39:30,22.1965,92.2262,76.6,98,100,3.09
118,Lompoc,US,2022-07-18 18:39:30,34.6391,-120.4579,75.92,74,0,10.0
119,Nuevo Progreso,MX,2022-07-18 18:39:30,23.1667,-97.95,96.55,40,0,5.01
120,Santa Cruz De Tenerife,ES,2022-07-18 18:39:31,28.4682,-16.2546,82.92,81,75,23.02
121,Tabou,CI,2022-07-18 18:39:31,4.423,-7.3528,74.97,76,89,9.55
122,Shelburne,CA,2022-07-18 18:39:32,44.0787,-80.2041,76.23,69,99,9.26
123,Hobart,AU,2022-07-18 18:39:32,-42.8794,147.3294,40.26,87,40,6.91
124,Wuning,CN,2022-07-18 18:39:33,29.2589,120.2311,77.29,96,100,1.36
125,Iquique,CL,2022-07-18 18:37:13,-20.2208,-70.1431,60.84,70,23,7.38
126,Fuyang,CN,2022-07-18 18:35:01,32.9,115.8167,77.56,76,76,4.36
127,Raga,SS,2022-07-18 18:39:34,8.4596,25.678,71.24,93,85,3.69
128,Chokurdakh,RU,2022-07-18 18:39:34,70.6333,147.9167,42.03,74,46,10.18
129,Saint George,US,2022-07-18 18:39:35,37.1041,-113.5841,97.63,28,0,4.0
130,Qaanaaq,GL,2022-07-18 18:39:35,77.484,-69.3632,44.74,55,0,3.06
131,Roald,NO,2022-07-18 18:39:35,62.5833,6.1333,60.75,76,75,12.66
132,Shimoda,JP,2022-07-18 18:39:36,34.6667,138.95,77.11,92,100,15.68
133,Port Alfred,ZA,2022-07-18 18:39:36,-33.5906,26.891,66.56,58,88,4.43
134,Volot,RU,2022-07-18 18:40:37,57.9278,30.7025,54.3,79,67,3.94
135,Nikolskoye,RU,2022-07-18 18:40:37,59.7035,30.7861,60.69,84,78,4.45
136,Yulara,AU,2022-07-18 18:40:38,-25.2406,130.9889,49.89,26,0,7.43
137,Cururupu,BR,2022-07-18 18:40:38,-1.8283,-44.8683,83.73,65,82,7.31
138,Thompson,CA,2022-07-18 18:40:39,55.7435,-97.8558,68.16,68,40,5.75
139,Hithadhoo,MV,2022-07-18 18:39:58,-0.6,73.0833,82.11,75,100,9.1
140,Cuamba,MZ,2022-07-18 18:40:39,-14.8031,36.5372,69.57,58,99,2.15
141,Busselton,AU,2022-07-18 18:40:40,-33.65,115.3333,50.99,88,0,8.79
142,Hope,US,2022-07-18 18:40:40,33.6671,-93.5916,100.45,28,60,9.37
143,Ketchikan,US,2022-07-18 18:40:41,55.3422,-131.6461,55.87,100,100,12.66
144,Chuy,UY,2022-07-18 18:37:48,-33.6971,-53.4616,55.8,66,8,6.33
145,Vila Franca Do Campo,PT,2022-07-18 18:40:41,37.7167,-25.4333,75.61,83,42,5.37
146,Bengkulu,ID,2022-07-18 18:40:42,-3.8004,102.2655,75.83,88,0,2.66
147,Palmer,US,2022-07-18 18:40:42,42.1584,-72.3287,76.39,86,100,13.8
148,Cherskiy,RU,2022-07-18 18:40:42,68.75,161.3,49.51,53,47,6.15
149,Sao Joao Da Barra,BR,2022-07-18 18:36:05,-21.6403,-41.0511,80.69,77,0,12.91
150,Sao Filipe,CV,2022-07-18 18:39:50,14.8961,-24.4956,75.36,81,40,15.73
151,Mantua,IT,2022-07-18 18:40:43,45.1667,10.7833,88.84,56,4,4.0
152,Narsaq,GL,2022-07-18 18:40:44,60.9167,-46.05,62.82,65,100,4.97
153,Basco,PH,2022-07-18 18:40:44,20.4487,121.9702,85.08,78,52,13.27
154,San Cristobal,VE,2022-07-18 18:40:45,7.7669,-72.225,77.18,76,100,5.75
155,Harper,LR,2022-07-18 18:40:45,4.375,-7.7169,74.97,77,92,10.87
156,Namatanai,PG,2022-07-18 18:40:46,-3.6667,152.4333,78.21,76,100,7.81
157,Tuktoyaktuk,CA,2022-07-18 18:40:46,69.4541,-133.0374,57.2,94,100,11.5
158,Greenville,US,2022-07-18 18:40:10,35.6127,-77.3663,89.64,64,40,6.91
159,Pottstown,US,2022-07-18 18:40:47,40.2454,-75.6496,90.07,74,40,12.66
160,Avera,US,2022-07-18 18:40:47,33.194,-82.5271,90.37,48,80,9.51
161,Vostok,RU,2022-07-18 18:40:47,46.4856,135.8833,56.34,97,100,2.28
162,Mezen,RU,2022-07-18 18:40:48,65.8522,44.24,57.38,83,100,5.41
163,Zhigansk,RU,2022-07-18 18:40:48,66.7697,123.3711,52.38,91,100,13.51
164,Ossora,RU,2022-07-18 18:40:49,59.2353,163.0719,58.77,88,100,0.38
165,Bira,RU,2022-07-18 18:40:49,49.0,132.4667,58.19,98,100,1.97
166,Deputatskiy,RU,2022-07-18 18:40:50,69.3,139.9,45.5,79,100,4.94
167,Faanui,PF,2022-07-18 18:40:50,-16.4833,-151.75,77.11,66,94,8.23
168,Kavaratti,IN,2022-07-18 18:40:51,10.5669,72.642,80.8,78,100,21.21
169,Moerai,PF,2022-07-18 18:40:51,-22.4333,-151.3333,73.56,77,27,22.17
170,Los Llanos De Aridane,ES,2022-07-18 18:40:52,28.6585,-17.9182,74.12,82,20,14.97
171,Denpasar,ID,2022-07-18 18:40:52,-8.65,115.2167,76.71,94,40,5.75
172,Mount Isa,AU,2022-07-18 18:40:52,-20.7333,139.5,56.97,51,0,10.36
173,Patrocinio,BR,2022-07-18 18:40:53,-18.9439,-46.9925,81.36,17,0,9.33
174,Sorong,ID,2022-07-18 18:40:53,-0.8833,131.25,77.02,87,83,3.47
175,Sebinkarahisar,TR,2022-07-18 18:40:54,40.2883,38.4236,58.68,80,76,5.48
176,Tadine,NC,2022-07-18 18:40:54,-21.55,167.8833,74.37,91,100,12.21
177,Mahebourg,MU,2022-07-18 18:40:54,-20.4081,57.7,69.26,73,75,23.02
178,Constitucion,CL,2022-07-18 18:40:55,-35.3333,-72.4167,55.17,76,96,9.57
179,East London,ZA,2022-07-18 18:40:55,-33.0153,27.9116,65.34,52,0,5.75
180,Cortez,US,2022-07-18 18:40:56,37.3489,-108.5859,88.56,23,0,10.36
181,Kalamare,BW,2022-07-18 18:41:56,-22.9337,26.5703,58.91,50,74,8.72
182,Saint-Michel-Des-Saints,CA,2022-07-18 18:40:46,46.6834,-73.9159,83.93,70,100,10.09
183,Havre-Saint-Pierre,CA,2022-07-18 18:41:57,50.2334,-63.5986,66.56,77,0,20.71
184,Valpacos,PT,2022-07-18 18:41:57,41.6075,-7.3109,77.13,43,0,10.98
185,Mount Gambier,AU,2022-07-18 18:41:58,-37.8333,140.7667,46.24,69,100,4.81
186,Cabo San Lucas,MX,2022-07-18 18:37:30,22.8909,-109.9124,92.61,64,20,18.41
187,Avarua,CK,2022-07-18 18:41:58,-21.2078,-159.775,69.85,88,75,4.61
