City ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
387,Piacabucu,BR,77.52,broken clouds,-10.4056,-36.4344,Piaçabuçu News
390,Alhadas,PT,78.28,few clouds,40.1861,-8.7906,Casa Carvalhal - Rural cottage
392,Loreto,MX,75.83,few clouds,22.2667,-101.9667,José de Jesús Velásquez mora
394,Nizwa,OM,89.49,overcast clouds,22.9333,57.5333,Orient Apartments
395,Coro,VE,88.83,clear sky,11.4045,-69.6734,Federal
397,Thinadhoo,MV,81.45,overcast clouds,0.5333,72.9333,
398,Ugoofaaru,MV,81.66,broken clouds,5.6667,73.0,Ungoofaaru Inn
400,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
402,Esteli,NI,82.15,overcast clouds,13.0919,-86.3538,Friends & Family
406,Muroto,JP,78.35,overcast clouds,33.2833,134.15,Oota Ryokan
409,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
413,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
417,Silver City,US,85.68,clear sky,32.7701,-108.2803,Copper Manor Motel
421,Thayetmyo,MM,77.04,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
424,Hobyo,SO,76.14,broken clouds,5.3505,48.5268,Iftin hotel hobyo
427,Hirara,JP,84.34,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
428,Pederneiras,BR,85.78,broken clouds,-22.3517,-48.775,Hotel Trevise - Pederneiras
431,Le Mars,US,83.71,clear sky,42.7942,-96.1656,"Holiday Inn Express & Suites Le Mars, an IHG Hotel"
436,Kikwit,CD,82.15,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
437,Hami,CN,88.66,broken clouds,42.8,93.45,Laoyutang Resort
442,Victoria,HK,89.19,clear sky,22.2855,114.1577,Mini Central
443,Rio Esteban,HN,89.65,broken clouds,15.8333,-86.3,Hotel La Fé
444,Barra Patuca,HN,84.27,overcast clouds,15.8,-84.2833,
448,Santa Cruz De La Palma,ES,78.94,scattered clouds,28.6835,-17.7642,H10 Taburiente Playa
450,Rosetta,EG,77.92,clear sky,31.4044,30.4164,Green Valley
453,Silvan,TR,80.89,clear sky,38.1419,41.0081,Silvan Grand Otel
456,West Lafayette,US,80.69,heavy intensity rain,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
457,Polson,US,77.77,overcast clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
469,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
471,Yen Bai,VN,77.88,clear sky,21.7,104.8667,AK MOTEL
473,Desterro,BR,81.36,broken clouds,-7.2906,-37.0939,HOTEL ENTRE RIOS
474,Gumdag,TM,83.23,broken clouds,39.2061,54.5906,
476,Lakhnau,IN,85.98,mist,26.85,80.9167,C N Comforts Hotel & Dormitory
480,Chardara,KZ,87.35,clear sky,41.2547,67.9692,Жанаргул
485,Baillif,GP,87.3,clear sky,16.0202,-61.7463,Hôtel Saint-Georges
486,Wawa,NG,79.66,broken clouds,9.9022,4.4192,
493,Tateyama,JP,79.11,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
495,Lata,PT,77.07,scattered clouds,40.1629,-8.3327,Casa Maquia
497,Simplicio Mendes,BR,88.05,overcast clouds,-7.8539,-41.9103,Fidalgo
498,Wewak,PG,79.79,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
499,Naze,JP,81.52,clear sky,28.3667,129.4833,Shishime Hotel
500,Kavaratti,IN,80.78,overcast clouds,10.5669,72.642,Green leaf
503,Mangrol,IN,80.85,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
505,Kabo,CF,75.99,broken clouds,7.6994,18.629,
511,Cap-Aux-Meules,CA,77.05,broken clouds,47.3821,-61.8597,Auberge Madeli
513,Munirabad,IN,76.19,overcast clouds,15.3333,76.3333,MANJU DJ
514,Voiteg,RO,87.03,overcast clouds,45.4689,21.2392,
515,Tucuma,BR,87.39,broken clouds,-0.1833,-50.05,
516,Ankara,TR,79.99,clear sky,39.9199,32.8543,Ramada by Wyndham Ankara
518,Quang Ngai,VN,76.21,few clouds,15.1167,108.8,Central Hotel
519,Faribault,US,76.71,broken clouds,44.295,-93.2688,GrandStay Residential Suites Hotel Faribault
520,Shahr-E Kord,IR,80.37,clear sky,32.3256,50.8644,Shahrekord Tourist Hotel
524,Nouakchott,MR,80.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN
525,Goderich,CA,76.91,overcast clouds,43.7501,-81.7165,Harmony Inn
527,Samarai,PG,79.07,overcast clouds,-10.6167,150.6667,Nuli Sapi
528,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
533,Hoi An,VN,82.36,clear sky,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
535,Taitung,TW,81.79,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
537,Gizo,SB,81.5,light rain,-8.103,156.8419,Imagination Island
540,Celestun,MX,86.9,broken clouds,20.8667,-90.4,Posada Lilia
541,Pekan,MY,78.91,broken clouds,3.4836,103.3996,Pekan Budget Hotel
542,Monte Carmelo,BR,81.55,clear sky,-18.7247,-47.4986,Park hotel
543,Merrill,US,76.77,scattered clouds,45.1805,-89.6835,Prairie Motel
547,Sabang,ID,80.33,overcast clouds,5.8933,95.3214,Hotel Citra
552,Salamiyah,SY,82.9,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
555,Porto Novo,BJ,80.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
557,Nechanice,CZ,80.46,few clouds,50.2374,15.6328,Rodinné ubytování - Family accommodation
558,Catuday,PH,82.24,light rain,16.2923,119.8062,Benjie's Kubo & Cottages
559,Catamarca,AR,81.59,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
560,Sinnamary,GF,82.96,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
561,Albania,AL,84.24,clear sky,41.0,20.0,Bora Homestay
562,Limon,CR,84.09,clear sky,10.0,-83.0333,Hotel Playa Bonita
564,Nanakuli,US,79.61,clear sky,21.3906,-158.1547,Camp Pālehua
568,Gezing,AT,82.65,few clouds,47.9178,13.1299,Landhaus Brieger
581,Dhidhdhoo,MV,81.48,broken clouds,6.8833,73.1,Dhidhoo beach
582,Summerland,CA,86.18,few clouds,49.5998,-119.6691,Summerland Waterfront Resort Hotel
584,Goundam,ML,85.57,overcast clouds,16.4145,-3.6708,
586,Quzhou,CN,76.87,broken clouds,28.9594,118.8686,Quzhou Jiujiu Business Hotel
589,Sungairaya,ID,77.56,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
593,Kulhudhuffushi,MV,81.46,broken clouds,6.6221,73.07,Haajy Guest House 1
606,Santa Isabel Do Rio Negro,BR,84.27,overcast clouds,-0.4139,-65.0192,Hotel GSA
610,The Valley,AI,86.14,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
615,Big Rapids,US,78.87,overcast clouds,43.6981,-85.4837,"Holiday Inn Big Rapids, an IHG Hotel"
616,Ismailia,EG,79.9,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
622,Sale,MA,86.68,broken clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
625,Padang,ID,77.14,light rain,-0.9492,100.3543,Mercure Padang
633,Santa Rosa,PH,84.18,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
635,Arona,ES,80.73,clear sky,28.0996,-16.681,Paradise Court
636,Winnemucca,US,84.25,clear sky,40.973,-117.7357,Winners Inn Casino
640,Kaseda,JP,79.38,scattered clouds,31.4167,130.3167,Sun Stay Kaseda
647,Balkhash,KZ,77.5,scattered clouds,46.844,74.9804,Family
648,Seoul,KR,76.6,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
649,Edd,ER,89.82,broken clouds,13.9297,41.6925,
660,Ha Tinh,VN,76.86,clear sky,18.3333,105.9,Phú Quý
662,Beatrice,US,78.89,clear sky,40.2681,-96.747,Victorian Inn Beatrice
663,Huazhou,CN,80.65,clear sky,21.6333,110.5833,Feilong Hotel
669,Bandarbeyla,SO,76.66,overcast clouds,9.4942,50.8122,JABIR HOTEL
671,Nabire,ID,75.74,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
672,Great Falls,US,78.19,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
673,Razam,IN,78.21,overcast clouds,18.4667,83.6667,Nagavalli
677,Zurrieq,MT,85.51,clear sky,35.8311,14.4742,Ta'Bertu Guest House
678,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
683,Pilar,BR,82.33,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
684,Bhag,PK,82.38,overcast clouds,29.0415,67.8239,Bukhari hotl
686,Tual,ID,78.57,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
687,Erenhot,CN,77.13,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
688,Lamu,KE,75.42,scattered clouds,-2.2717,40.902,Lamu House
689,Wattegama,LK,77.74,overcast clouds,6.7989,81.4808,
692,Danciulesti,RO,88.83,broken clouds,44.7333,23.75,Cabana Colt Verde
705,Korla,CN,89.38,broken clouds,41.7597,86.1469,Gulisitan Hotel
